,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
81,2021-09-24,782.7080143526201,-2.239104335227228,1455.0278191395078,722.1651595580308,845.8595193053769,-63.26086761813006,-63.26086761813006,-63.26086761813006,-23.0692503905274,-23.0692503905274,-23.0692503905274,-40.19161722760265,-40.19161722760265,-40.19161722760265,0.0,0.0,0.0,719.44714673449
82,2021-09-25,784.1782427548362,110.77671917408266,1626.1451025127976,722.7120374870715,847.8013167424406,34.69349313934264,34.69349313934264,34.69349313934264,73.42368841352366,73.42368841352366,73.42368841352366,-38.73019527418102,-38.73019527418102,-38.73019527418102,0.0,0.0,0.0,818.8717358941789
83,2021-09-26,785.6484711570522,60.41557891662308,1529.9127325411662,723.3221585562204,850.8462094609314,36.56009069982024,36.56009069982024,36.56009069982024,73.36118910201276,73.36118910201276,73.36118910201276,-36.80109840219251,-36.80109840219251,-36.80109840219251,0.0,0.0,0.0,822.2085618568724
84,2021-09-27,787.1186995592685,-74.72942075952083,1516.5656094028861,724.0733947944623,853.2264116339835,-56.704909520396946,-56.704909520396946,-56.704909520396946,-22.252942538111466,-22.252942538111466,-22.252942538111466,-34.451966982285484,-34.451966982285484,-34.451966982285484,0.0,0.0,0.0,730.4137900388715
85,2021-09-28,788.5889279614845,-40.127258852286985,1468.1310548048016,724.4531048138098,855.5682525496924,-70.21044010467104,-70.21044010467104,-70.21044010467104,-38.4726921920971,-38.4726921920971,-38.4726921920971,-31.73774791257394,-31.73774791257394,-31.73774791257394,0.0,0.0,0.0,718.3784878568134
86,2021-09-29,790.0591563637008,-22.18509109371383,1441.1455002814876,724.7623760634585,858.1721351516757,-87.07456897793445,-87.07456897793445,-87.07456897793445,-58.35530717017173,-58.35530717017173,-58.35530717017173,-28.719261807762727,-28.719261807762727,-28.719261807762727,0.0,0.0,0.0,702.9845873857664
87,2021-10-01,792.9996131681329,-19.78333263231064,1497.4234537339798,725.1887640786744,862.6306741255536,-45.10185086807738,-45.10185086807738,-45.10185086807738,-23.06925039046273,-23.06925039046273,-23.06925039046273,-22.03260047761465,-22.03260047761465,-22.03260047761465,0.0,0.0,0.0,747.8977623000555
88,2021-10-02,794.4698415703489,99.0041927201794,1582.0343270257176,725.7853576561594,865.0578440948798,54.92284626667588,54.92284626667588,54.92284626667588,73.4236884136892,73.4236884136892,73.4236884136892,-18.500842147013316,-18.500842147013316,-18.500842147013316,0.0,0.0,0.0,849.3926878370247
89,2021-10-03,795.9400699725649,139.88647296435008,1556.1360021238943,726.3099387435635,867.6337208169128,58.426966077383646,58.426966077383646,58.426966077383646,73.36118910205347,73.36118910205347,73.36118910205347,-14.934223024669816,-14.934223024669816,-14.934223024669816,0.0,0.0,0.0,854.3670360499485
90,2021-10-04,797.4102983747812,26.260764498122494,1549.5797899905199,726.4405082976951,869.920213953372,-33.65109900432243,-33.65109900432243,-33.65109900432243,-22.252942538210014,-22.252942538210014,-22.252942538210014,-11.398156466112411,-11.398156466112411,-11.398156466112411,0.0,0.0,0.0,763.7591993704588
91,2021-10-05,798.8805267769972,-30.37219531121042,1488.7567506630987,726.528971043033,872.0942856098684,-46.42673489607058,-46.42673489607058,-46.42673489607058,-38.47269219207364,-38.47269219207364,-38.47269219207364,-7.954042703996941,-7.954042703996941,-7.954042703996941,0.0,0.0,0.0,752.4537918809266
92,2021-10-06,800.3507551792131,-27.75695303220114,1435.8010826529683,726.4819787303267,874.4871724843165,-63.01316437319947,-63.01316437319947,-63.01316437319947,-58.35530717012961,-58.35530717012961,-58.35530717012961,-4.657857203069859,-4.657857203069859,-4.657857203069859,0.0,0.0,0.0,737.3375908060136
